num_lectures,price,days_since_published,content_duration
11,0,1830,1.0
25,100,1304,6.5
11,40,1439,1.0
65,95,1791,2.5
21,20,1835,2.0
69,175,1223,9.5
24,40,1475,1.5
12,30,1718,1.0
13,95,1899,1.5
71,100,2163,3.5
95,75,1456,8.5
152,200,1494,5.5
49,40,2040,4.5
19,50,1805,2.0
11,20,1816,0.6333333333333333
138,190,1605,7.5
12,80,1304,0.7333333333333333
14,20,1841,3.0
29,95,1918,2.5
61,200,1294,9.5
92,105,1232,4.0
28,100,1852,2.5
16,75,1961,2.0
16,30,1638,3.0
14,30,1800,1.5
99,80,1808,2.0
7,0,1342,1.0
15,60,1489,1.5
12,0,1897,1.0
11,50,1192,2.0
49,200,1940,4.5
100,125,1775,20.5
16,95,1606,1.0
61,75,2055,6.0
16,20,1918,1.5
36,200,1844,2.5
12,40,1902,1.0
25,50,1903,2.0
12,60,1394,1.0
42,95,1939,5.0
16,75,1724,1.5
26,20,1882,3.0
30,20,1244,2.5
8,0,1911,1.0
20,0,2004,3.0
21,0,1228,3.0
87,40,1450,10.0
13,25,2161,1.5
60,20,1504,6.5
28,50,1471,3.0
56,200,1660,11.0
161,145,1225,14.0
98,50,1723,0.5166666666666666
24,95,2135,1.5
76,150,2763,13.0
224,200,2333,28.5
17,40,1675,1.5
6,50,1254,0.5333333333333333
18,50,2100,2.0
18,20,1735,1.0
12,25,1549,1.0
10,60,2775,2.0
31,20,1420,4.0
32,25,1214,3.5
29,200,1951,2.5
45,0,2792,10.5
91,200,2085,10.0
68,20,1877,6.5
24,30,2756,4.0
25,50,1567,1.5
11,40,1646,1.0
25,105,1205,1.5
26,60,1443,0.6333333333333333
69,100,2081,10.0
37,50,1767,1.5
66,20,2102,5.5
35,60,1527,4.0
45,75,1937,4.5
53,45,1728,7.0
10,25,1413,1.0
9,40,1951,2.0
60,50,1652,13.5
29,50,1262,3.5
34,35,1961,1.0
19,25,1657,1.0
18,30,1301,2.5
34,20,1400,1.5
96,195,1485,12.5
9,100,2099,1.0
16,20,2479,3.0
16,100,1189,1.0
36,100,1356,3.0
21,200,2000,2.0
35,45,1532,1.5
83,85,1254,5.0
8,20,1595,1.0
91,60,1597,16.5
30,20,1261,2.5
25,65,1931,1.0
14,40,1237,1.0
28,95,1867,5.0
13,35,1696,1.5
9,0,2548,2.0
22,195,1884,2.0
12,25,2255,3.5
9,35,1488,0.5666666666666667
29,200,1868,1.5
23,30,1924,0.7166666666666667
66,100,1210,12.5
15,25,1338,2.5
52,30,1287,3.5
14,30,1821,2.0
13,20,2100,1.5
55,50,2633,7.5
156,195,1204,24.0
158,150,1378,17.5
35,20,1674,5.0
30,20,1947,2.0
23,50,2333,3.0
108,50,2001,7.0
192,50,2091,6.0
49,50,2029,1.0
348,200,1456,19.5
12,30,1405,0.5833333333333334
15,20,2149,1.0
7,0,1470,1.0
10,50,2053,1.0
21,25,1605,3.0
5,45,1727,1.0
105,200,1521,12.5
28,45,2168,2.5
8,120,2787,2.5
34,195,1996,2.0
15,20,1273,1.0
19,40,1843,2.5
7,200,1842,1.5
8,25,1664,0.5666666666666667
30,95,1290,3.0
16,100,2647,1.0
15,45,1343,1.0
60,200,1227,5.0
16,20,1303,1.0
24,35,1189,3.5
95,0,3036,4.5
7,0,2148,1.0
18,35,2291,1.0
10,0,1583,0.5666666666666667
48,75,1431,4.5
20,50,1770,1.5
24,0,2297,1.0
5,30,2183,0.55
32,0,1374,2.0
8,20,1419,0.6166666666666667
304,20,2022,15.5
8,0,1723,1.0
12,25,1486,0.7
33,200,2688,2.5
48,30,1485,3.5
24,50,1351,1.0
47,60,2156,13.0
15,35,2397,2.0
38,100,1447,6.0
24,20,1898,2.0
34,200,1268,1.5
29,200,1777,2.0
110,50,2463,7.5
6,50,1660,0.6833333333333333
18,40,1533,2.0
15,50,1832,3.0
15,0,1206,3.0
25,195,1994,1.5
12,0,1332,0.5
11,20,1874,1.0
24,115,1990,2.0
97,45,2799,10.0
36,0,2218,4.5
7,0,1213,0.5833333333333334
14,20,2319,1.5
24,100,1456,2.0
43,75,1192,1.0
41,90,2351,3.5
113,75,2389,10.0
14,45,1479,1.0
24,0,1192,1.5
21,35,1670,1.0
13,20,2122,1.5
8,20,1891,0.6833333333333333
14,50,2009,3.5
40,95,2570,5.5
38,195,1627,5.0
21,30,1610,2.5
39,40,2589,3.0
5,20,1953,1.0
54,40,1608,11.5
21,20,1883,1.0
47,100,1325,3.5
10,20,1689,0.7333333333333333
7,20,1463,1.0
20,0,2193,3.0
6,40,2005,1.5
246,200,1875,32.5
18,95,1483,1.5
49,100,1875,9.0
19,35,1849,2.0
27,0,1729,3.0
9,20,1491,0.7333333333333333
188,200,1570,22.5
69,0,1616,5.0
20,40,1536,1.5
163,50,1674,10.5
48,20,2364,12.5
8,25,1203,2.0
12,20,1583,2.5
9,50,1192,2.0
195,20,2901,18.0
8,0,1398,1.0
20,200,1596,4.0
9,45,1326,1.0
14,20,2309,1.5
16,50,2352,4.0
19,150,1477,2.0
17,20,1795,3.0
8,0,2250,0.5833333333333334
22,50,1726,1.5
53,0,1926,3.0
33,95,2043,2.5
10,0,1198,2.0
10,20,2490,0.6333333333333333
83,100,1568,5.0
17,50,1792,0.6333333333333333
79,50,1898,15.0
56,50,1438,1.5
19,50,2401,3.0
32,20,1765,2.0
62,40,1758,3.5
16,20,1955,1.5
20,30,1471,1.5
86,95,1254,12.0
13,75,1196,2.5
33,50,2336,3.5
8,20,1415,1.0
45,60,1688,1.0
9,20,1337,1.0
13,20,1745,1.0
158,150,1388,30.0
24,85,1409,0.65
24,200,1247,3.0
37,200,1230,6.0
20,20,1319,2.0
17,0,1287,1.5
22,50,2401,4.0
25,25,1483,1.0
18,20,1979,2.0
20,200,1727,2.5
6,20,1234,0.5333333333333333
36,195,1870,3.5
29,195,1623,2.5
9,45,1700,2.0
16,200,1280,1.0
154,20,1809,14.5
4,35,1830,0.55
8,30,1373,2.0
59,95,1234,4.5
15,50,1472,1.5
26,95,1311,2.5
104,115,1930,5.5
29,100,1225,1.5
13,95,1366,1.0
22,150,1671,1.5
88,200,1444,7.0
35,25,2443,8.5
304,200,1674,30.5
10,95,1373,1.0
53,55,2128,3.0
5,20,2394,1.0
19,35,1261,1.0
103,195,1287,6.5
24,50,1735,3.5
14,80,1951,0.5
27,20,1854,3.0
49,50,1255,3.0
19,105,2116,2.0
75,50,2822,12.5
55,30,1449,4.5
5,20,2095,0.55
171,65,1359,19.0
235,100,1492,19.5
48,30,1695,3.0
12,25,1296,0.5
16,25,2519,4.5
19,20,2017,2.5
37,0,1409,2.5
104,110,1717,14.0
39,20,1867,4.0
7,40,1413,0.5833333333333334
6,0,2069,1.5
7,20,1234,1.0
7,40,1603,1.5
19,30,1247,3.0
26,50,1393,1.0
88,50,2106,6.0
51,50,2591,7.5
23,0,1580,2.0
10,20,1262,2.5
14,20,2806,1.5
9,20,1591,1.0
47,40,1797,0.7333333333333333
74,20,1765,4.0
14,0,2237,1.0
86,50,2396,5.5
13,20,1779,3.5
8,20,2119,0.6
31,0,1863,1.5
29,20,2567,2.5
39,25,2294,2.0
15,20,1792,2.5
6,20,2308,0.4833333333333333
32,195,2386,14.0
24,50,2431,5.5
19,0,1228,2.5
8,20,1724,0.6166666666666667
16,35,2412,2.0
91,100,1436,4.0
35,20,2477,2.5
52,25,2628,10.5
18,20,1954,1.0
6,20,1870,1.0
150,180,1745,26.5
29,50,2361,14.5
16,195,2010,2.0
31,0,1896,6.5
9,20,2207,1.0
110,95,2069,2.5
88,50,1804,10.5
27,25,1332,2.5
194,150,1679,9.5
61,50,2001,2.5
34,85,2147,2.0
20,20,1492,0.6333333333333333
19,80,1401,2.0
38,35,1558,3.0
129,200,1906,11.0
50,30,1450,3.5
21,20,2163,3.0
16,40,1260,1.5
27,20,1703,1.0
64,20,2916,9.5
62,95,1308,2.5
48,20,1920,2.0
22,95,1395,1.0
15,145,1612,1.0
44,30,1878,7.0
14,40,1477,1.0
68,50,1741,16.5
15,20,1247,1.5
65,0,1506,5.5
18,95,1556,2.0
17,95,1885,1.5
196,40,1605,5.5
9,25,1385,0.5833333333333334
27,20,1198,2.5
9,20,1319,1.0
13,50,2130,2.5
16,95,1393,1.5
62,75,1981,4.5
28,20,2214,1.5
7,20,2051,1.5
35,100,1792,3.0
35,50,1707,2.5
15,200,1314,1.0
33,20,2352,6.0
12,195,1598,1.0
14,20,1779,3.5
16,20,2417,1.5
6,20,1967,1.0
30,100,1414,2.0
17,200,1781,1.0
16,55,1993,1.5
5,20,1189,0.5166666666666666
31,20,2109,2.0
24,20,3033,1.0
11,40,1878,0.5833333333333334
18,50,1358,2.0
7,20,1556,1.0
11,100,1761,0.5
26,50,2366,7.5
70,30,1917,7.0
14,50,1254,1.0
20,0,1644,4.0
20,0,1331,2.0
65,20,1553,2.5
10,30,2554,2.0
77,50,1427,17.5
9,30,2040,1.0
24,20,1801,1.5
35,40,1193,5.5
69,0,1261,20.5
79,40,1307,6.5
15,95,2520,1.0
90,85,1986,5.0
9,50,1539,0.5166666666666666
8,20,1738,0.65
28,40,1511,4.0
58,95,1835,7.0
14,20,2359,1.5
37,200,2144,5.5
14,35,2326,1.0
16,50,1316,2.0
23,75,2261,2.0
58,20,1963,6.0
9,50,1609,2.0
84,20,1906,5.5
23,75,2059,3.0
69,80,1280,4.5
34,95,1638,2.5
48,85,2147,3.5
26,20,1794,2.5
35,20,2050,3.0
41,20,1680,4.0
20,200,1352,3.0
194,150,1800,24.5
129,150,1422,13.5
62,150,1519,2.0
26,55,1584,4.0
12,20,1738,3.0
11,50,1285,1.0
8,20,1269,1.0
14,40,1879,1.5
145,200,1440,14.5
63,50,1438,1.5
24,195,2121,5.0
16,120,2110,1.5
34,20,2613,1.5
42,50,2402,4.5
9,20,1664,1.0
20,0,1531,0.6166666666666667
10,50,1500,1.0
9,35,2033,0.55
11,0,1219,1.5
100,0,1387,5.0
25,30,1755,1.5
88,40,1736,7.5
17,20,1891,2.0
159,195,1439,18.5
6,135,1192,1.0
14,30,1456,1.0
111,150,1570,21.0
34,20,2392,6.5
57,50,1413,6.5
46,45,1815,5.5
10,70,1274,1.5
14,0,2355,1.5
81,20,1975,4.5
20,30,1192,3.0
13,30,2019,1.5
8,20,2022,1.0
30,50,1643,6.0
113,95,1430,2.0
16,20,1249,1.0
31,100,1499,3.0
25,40,1791,4.0
22,0,3073,2.5
18,45,1701,1.0
10,30,1882,1.0
13,40,1352,1.0
5,20,2613,1.0
11,20,1325,1.0
87,60,1715,17.5
50,200,1785,5.5
28,85,1385,3.5
110,50,2044,9.0
24,50,1632,4.0
8,65,1800,1.0
18,90,1251,2.5
46,75,1886,4.5
13,20,2515,0.6333333333333333
26,100,1913,3.5
185,100,3214,12.0
27,25,1715,6.0
28,80,2191,2.5
9,75,1197,2.5
19,0,1899,2.0
55,105,1510,6.0
27,20,1263,1.5
11,20,2082,0.6833333333333333
39,40,1353,5.5
30,30,1512,4.0
362,200,2253,30.0
11,0,1624,0.55
64,75,1706,4.5
9,35,1419,1.5
174,45,1479,16.5
20,20,2458,2.0
8,20,2691,1.0
5,20,1574,0.6
57,20,2032,2.0
25,45,1965,1.0
76,20,1625,5.0
26,95,2174,5.0
27,40,1196,1.0
79,200,1741,18.0
47,35,1715,3.5
16,200,1626,1.5
91,50,1841,7.0
43,100,1839,3.0
12,35,1233,0.7333333333333333
43,80,1393,5.5
77,20,1947,2.5
15,20,1812,3.0
11,20,2242,2.0
13,20,1910,1.5
5,20,2025,1.0
5,20,1376,1.0
43,100,2059,5.5
18,0,1825,5.0
36,50,1643,7.0
19,55,1238,2.0
18,55,2046,1.5
6,40,1410,0.5833333333333334
131,150,1680,19.5
5,50,1547,1.0
45,195,1517,4.0
5,20,2505,1.0
15,95,1653,1.0
34,125,1507,2.0
22,0,1320,2.0
80,200,1743,6.5
21,100,1515,5.0
44,20,1896,2.5
20,20,1430,2.0
5,0,2215,0.5166666666666666
29,75,1945,3.0
8,40,1464,1.0
38,0,1591,1.0
14,20,1956,0.65
154,195,2323,26.0
18,25,1519,5.0
14,20,1519,1.5
37,20,1734,1.5
68,40,1189,8.5
16,30,2345,2.0
13,100,1192,3.5
42,30,2492,4.0
90,50,1995,16.0
12,20,1746,1.0
24,50,1698,0.7
25,145,1407,3.5
101,50,3058,8.0
56,95,2043,6.0
94,20,1979,8.0
24,20,2132,2.0
18,195,1605,1.0
32,20,2670,2.0
13,20,2363,1.0
44,20,1876,5.5
23,50,1843,1.5
64,95,2025,3.5
11,20,1569,0.6
19,20,1892,1.0
46,40,2541,12.0
45,35,1332,3.0
60,100,1925,6.0
27,40,1478,2.0
179,35,1703,17.5
13,20,1274,3.0
27,195,2445,4.0
42,35,2561,3.5
39,50,2352,5.5
29,200,1936,2.0
31,50,2343,3.5
57,50,1629,7.0
27,50,1890,2.5
7,20,1758,0.6833333333333333
6,0,1259,1.0
12,20,1672,2.0
25,200,1359,1.0
28,20,1581,1.0
12,20,2213,1.5
19,30,2157,1.0
16,35,1639,1.0
16,0,1653,1.5
17,50,2333,3.0
6,60,1233,0.7
36,20,1255,4.5
30,120,1847,1.5
31,100,1839,1.5
50,50,2512,3.0
12,0,1252,1.5
11,20,1667,0.5
8,20,2001,1.0
7,25,1674,0.6166666666666667
15,20,1324,1.0
11,20,1293,1.0
27,50,2343,8.5
32,195,1685,2.0
41,30,2996,2.5
15,20,1212,1.0
20,200,1461,1.5
28,20,2491,1.5
28,60,1688,5.5
12,100,1198,2.5
11,40,2153,2.5
6,60,1247,0.6666666666666666
39,200,1288,2.5
17,0,1678,1.5
22,25,2570,3.0
157,100,1430,12.5
26,95,1791,3.5
9,20,1231,1.0
40,50,1673,4.5
8,0,1217,0.65
6,80,1679,0.7
105,150,1386,5.5
29,95,1434,1.5
27,20,2099,2.0
35,200,1962,5.0
24,100,1423,1.0
7,125,1307,0.6333333333333333
43,20,1824,2.5
26,0,2548,3.5
7,0,1864,0.6
32,200,1518,3.0
10,75,1756,1.0
25,0,1262,3.5
22,20,1309,1.5
73,100,2490,9.0
49,50,1333,3.0
23,40,1583,5.5
10,20,2367,1.0
23,40,1573,1.5
212,195,1338,37.5
42,35,1959,2.0
23,200,1934,2.0
38,20,1854,3.5
10,20,3089,0.6
16,40,1773,1.5
104,50,1988,5.0
45,50,1644,3.5
13,0,1805,1.0
24,60,1468,1.5
37,50,1671,3.5
32,50,1525,2.0
38,140,1310,3.0
59,50,1785,2.5
22,50,1644,2.0
22,20,1878,1.5
55,20,1500,10.0
9,20,1262,0.5333333333333333
9,50,2220,0.6833333333333333
9,0,1400,1.0
26,200,1323,1.5
12,100,1198,1.5
38,20,1315,4.0
12,20,1997,0.65
132,100,1674,16.0
15,150,1418,0.65
32,20,1744,3.0
46,200,1350,3.5
21,200,1385,1.5
72,195,1718,5.0
25,20,2084,2.0
16,200,1797,1.5
137,110,1486,7.0
10,50,1497,0.5666666666666667
11,0,1628,1.0
21,100,1576,2.0
24,200,1212,4.0
5,200,1820,0.5333333333333333
89,50,2001,6.0
12,25,1357,1.0
6,130,1307,0.5333333333333333
98,150,1869,19.5
74,55,1638,5.0
14,40,1233,1.0
20,100,2228,1.0
50,195,1388,6.5
22,50,2524,1.0
53,50,2406,5.0
20,120,1618,2.0
19,25,1935,1.5
12,50,2635,1.0
211,25,1636,20.5
12,0,1790,1.5
28,35,1260,2.0
21,50,2333,3.5
16,60,1436,1.0
12,50,1293,1.5
66,195,2144,9.0
45,50,1311,6.0
124,200,2730,22.0
14,75,1439,1.5
8,20,1615,1.0
5,20,2381,1.0
20,0,2008,1.0
19,95,1442,1.0
44,100,1259,2.0
76,150,1411,5.5
22,0,1358,2.5
6,160,1736,1.0
43,20,1913,4.0
47,165,1286,5.5
30,50,1651,1.5
19,0,1408,2.0
11,20,2424,1.5
20,20,1990,1.0
11,45,1698,2.0
25,100,1499,2.5
86,90,1961,6.5
54,200,1212,3.0
11,20,1564,1.5
55,175,2004,7.0
6,20,1321,1.5
17,25,2052,1.0
49,100,1777,5.0
17,0,1687,1.0
14,40,1894,1.0
8,65,1479,1.5
136,50,2600,12.0
15,20,1457,0.6333333333333333
19,20,1948,3.0
7,20,1267,0.5833333333333334
64,150,1537,6.5
25,40,2064,2.0
9,20,1728,2.0
24,35,1882,1.5
70,195,1798,7.5
5,0,1686,1.0
6,0,1226,1.0
24,30,1446,2.0
81,195,1597,5.0
19,100,1198,3.0
134,150,2077,12.0
7,0,1752,0.6
20,50,2333,3.0
42,25,2568,3.0
13,0,1199,0.65
26,145,1815,1.5
41,30,1441,4.0
13,20,1975,2.0
20,95,1465,2.0
13,20,2019,1.5
8,20,1668,1.5
13,40,1226,1.0
111,150,1619,8.5
5,25,2094,0.5333333333333333
19,20,2119,1.5
33,35,1721,1.0
57,195,1387,17.0
56,200,2056,5.5
20,80,1441,1.0
43,50,2005,5.5
14,20,1246,0.6166666666666667
77,60,1737,5.5
